ID,"Sendai, T3-16",,,,,,,,,,,,,,,,,
Location,Japan,,,,,,,,,,,,,,,,,
Sublocation,Sendai,,,,,,,,,,,,,,,,,
GSFileOriginal,T3-16_Japan2011_WP22_synth_interp_r1.xls,,,,,,,,,,,,,,,,,
TypeGS,STLD,,,,,,,,,,,,,,,,,
WhosGS,Gary Schneider,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Depth Units,cm,,,,,,,,,,,,,,,,,
Bin Units,phi,,,,,,,,,,,,,,,,,
Distribution Units,percent,,,,,,,,,,,,,,,,,
Layer Type,-1,4,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,0
Layer,-1,9,8,8,7,6,6,5,5,4,3,3,3,3,2,1,1,0
Trench Name,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16,T3-16
Sample ID, WP22 S83 0-1cm, WP22 S84 1-2cm, WP22 S85 2-3cm, WP22 S86 3-4cm, WP22 S87 4-5cm, WP22 S88 5-6cm, WP22 S89 6-7cm, WP22 S90 7-8cm, WP22 S91 8-9cm, WP22 S92 9-10cm, WP22S93 10-11cm, WP22S94 11-12cm, WP22S95 12-13cm, WP22S96 13-14cm, WP22S97 14-15cm, WP22S98 15-16cm, WP22S99 16-17cm, WP22S10017-18c
Min Depth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Max Depth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
-1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,0,0,0,0,0,0,0,0,0,0.140894,0,0,0.133977,0,0,0,0,0
-1.25,0,0,0,0,0,0,0,0,0,0.234813,0,0,0.089313,0,0.241227,0,0.155447,0
-1,0,0,0,0,0,0,0,0.03965,0,0.140894,0,0.134145,0.089313,0.35861,0,0.078651,0.621859,0.180491
-0.75,0,0,0,0,0,0,0,0.0793,0,0.328731,0,0.223554,0.312602,0.448262,0.1608,0.471881,0.466411,0.270707
-0.5,0,0,0,0,0,0,0,0.0793,0,0.375707,0,0.357699,0.44658,0.537874,0.402027,0.629159,1.088201,0.947595
-0.25,0,0,0,0,0,0,0,0.118936,0,0.610487,0,0.581284,0.625205,1.524051,0.643227,1.258342,2.098712,1.03781
0,0,0,0,0,0,0,0,0.118936,0,0.610487,0,0.670694,0.477926,1.255093,1.286481,0.76526,2.487365,1.534146
0.25,0,0,0,0,0,0,0,0.237885,0,0.845299,0,1.117833,1.147022,1.116129,0.479574,0.573945,3.181695,2.120758
0.5,0,0,0,0,0,0,0,0.753292,1.459068,1.289546,0,1.579082,1.529363,3.627418,1.246893,2.582751,5.545239,3.076753
0.75,0,0,0,0,0,0,0.983541,1.148059,2.139966,2.11854,2.24506,3.25105,4.110162,8.277953,5.754892,4.017612,5.636144,4.834898
1,0,1.259787,0,1.879181,1.269454,3.256977,3.934165,3.635521,7.392611,5.434517,5.563843,6.5021,8.793835,13.579564,10.45472,9.565744,10.454139,7.560022
1.25,2.950138,4.845335,2.575223,8.307957,7.519071,7.895701,10.327182,9.280145,14.396138,9.763708,13.665581,13.282862,16.918575,18.509131,14.770889,16.453081,15.363039,11.515847
1.5,14.16066,12.404057,8.617091,20.077563,18.553552,17.666631,20.55601,17.603574,24.415072,18.790532,20.693594,18.85609,21.889002,18.695153,19.950292,20.470692,18.999261,14.944229
1.75,30.189742,23.839048,21.295111,30.363606,26.951476,27.141472,30.09636,26.692376,26.749581,24.501381,28.502498,26.658611,22.080173,16.555905,20.525781,22.670815,18.090206,18.548425
2,34.024919,29.362728,33.675989,28.484424,27.635027,27.832347,24.490174,24.970288,16.438833,20.172189,21.084039,16.069475,14.146605,9.580103,13.619911,12.72244,10.908667,15.471672
2.25,14.16066,19.09062,26.247462,8.703574,13.573388,12.435729,7.278205,9.854175,4.377204,7.645168,5.856677,4.737244,3.536651,2.511289,4.699829,4.591557,2.727167,8.351187
2.5,2.163434,4.942241,5.64568,1.186851,2.148306,1.776533,0.688479,1.722089,0,1.750099,0,0.835984,0.860266,0,0.767319,0.76526,0,2.373496
2.75,0.590028,1.16288,0.99047,0,0,0.592178,0,0.57403,0,0.644773,0,0.65021,0,0,0.767319,0.573945,0,0.703827
3,0.00003,0.000136,0,0,0,0.000005,0.00001,0.000024,0.000004,0.000005,0.000002,0,0.000146,0,0.76732,0.000076,0,0.535875
3.25,0.002259,0.005432,0.000019,0.000219,0.000059,0.000808,0.001191,0.002542,0.000917,0.001145,0.000547,0.000338,0.004074,0.000056,0.000347,0.001679,0.000392,0.030006
3.5,0.015492,0.033717,0.001506,0.004665,0.004406,0.009284,0.01213,0.021554,0.01171,0.015878,0.007811,0.009105,0.021663,0.003494,0.772182,0.008194,0.006791,0.061213
3.75,0.039081,0.081354,0.01134,0.019438,0.032661,0.031695,0.038349,0.058138,0.041052,0.060289,0.030337,0.60336,0.04811,0.486946,1.261656,0.019355,0.02307,0.103822
4,0.058446,0.121876,0.028017,0.036185,0.080596,0.054975,0.063037,0.08999,0.073683,0.114596,0.058762,0.094041,0.070336,0.043193,0.020551,0.031112,0.035694,0.14463
4.25,0.067776,0.147241,0.038786,0.04416,0.114667,0.067317,0.072913,0.107926,0.096314,0.154175,0.078827,0.123945,0.082715,0.052068,0.021854,0.041604,0.039394,0.174637
4.500006,0.077458,0.179412,0.045171,0.047849,0.13182,0.077134,0.077357,0.124935,0.115787,0.187771,0.096026,0.143619,0.093687,0.067748,0.030538,0.05517,0.049188,0.208844
4.749989,0.093302,0.213438,0.053366,0.054826,0.140984,0.084146,0.082294,0.142253,0.128945,0.211703,0.114658,0.161325,0.10691,0.099107,0.049642,0.070727,0.069646,0.246052
5,0.107386,0.225811,0.062896,0.059811,0.143333,0.086951,0.08394,0.145345,0.136839,0.220907,0.12899,0.169195,0.10691,0.120703,0.064404,0.077781,0.084881,0.264056
5.250001,0.105625,0.210345,0.063849,0.059811,0.129235,0.081341,0.075711,0.129883,0.126313,0.197896,0.124213,0.16526,0.101283,0.118337,0.066575,0.077781,0.084881,0.234049
5.500006,0.095063,0.182505,0.059084,0.052833,0.108087,0.070122,0.065835,0.114421,0.115787,0.174885,0.112269,0.145586,0.092843,0.103544,0.062233,0.074163,0.080529,0.210044
5.750028,0.0845,0.163945,0.052414,0.047849,0.096339,0.06311,0.062544,0.111328,0.110524,0.16568,0.102714,0.137717,0.092843,0.106503,0.060786,0.070546,0.082705,0.210044
6,0.077458,0.142292,0.047649,0.043861,0.091639,0.0575,0.059252,0.111328,0.107893,0.170283,0.095548,0.137717,0.101283,0.109461,0.062233,0.070546,0.087058,0.216045
6.250001,0.072177,0.126825,0.042884,0.039874,0.08694,0.053292,0.057606,0.108236,0.097366,0.161078,0.088382,0.137717,0.095657,0.115378,0.059339,0.065119,0.087058,0.198042
6.49994,0.066896,0.117545,0.039072,0.036883,0.08459,0.049085,0.05596,0.105143,0.092103,0.161078,0.088382,0.133782,0.092843,0.118337,0.059339,0.066928,0.082705,0.19204
6.749997,0.065135,0.108266,0.036213,0.035886,0.08459,0.047683,0.057606,0.108236,0.094735,0.16568,0.088382,0.141651,0.101283,0.127212,0.062233,0.068737,0.084881,0.204043
7,0.065135,0.105172,0.03526,0.036883,0.08694,0.047683,0.060898,0.117513,0.099998,0.174885,0.095548,0.15739,0.109724,0.136087,0.063681,0.074163,0.093587,0.222047
7.250001,0.065135,0.098986,0.034307,0.035886,0.08694,0.049085,0.06419,0.12679,0.10263,0.193294,0.095548,0.16526,0.120977,0.144962,0.066575,0.077781,0.09794,0.240051
7.499993,0.063375,0.095892,0.033354,0.035886,0.08929,0.047683,0.06419,0.129883,0.107893,0.197896,0.097937,0.177064,0.129418,0.144962,0.066575,0.081399,0.100117,0.258054
7.750013,0.061615,0.089706,0.030495,0.033893,0.08459,0.047683,0.065835,0.132975,0.105261,0.197896,0.097937,0.177064,0.129418,0.144962,0.066575,0.081399,0.102293,0.264056
7.999982,0.059854,0.083519,0.029542,0.032896,0.08224,0.044878,0.062544,0.129883,0.10263,0.197896,0.09316,0.173129,0.129418,0.142004,0.063681,0.081399,0.100117,0.252053
8.249979,0.054573,0.074239,0.02573,0.030902,0.077541,0.042073,0.059252,0.120605,0.094735,0.184089,0.088382,0.16526,0.123791,0.13017,0.059339,0.074163,0.093587,0.246052
8.500019,0.049292,0.071146,0.024777,0.027912,0.070492,0.039268,0.054314,0.111328,0.089472,0.170283,0.081216,0.153456,0.112537,0.121295,0.05355,0.072355,0.089234,0.228048
8.749981,0.045771,0.061866,0.021918,0.024921,0.063443,0.035061,0.049377,0.105143,0.081577,0.161078,0.076439,0.141651,0.10691,0.11242,0.052102,0.065119,0.080529,0.216045
9.000018,0.04049,0.055679,0.020012,0.023924,0.061093,0.033658,0.047731,0.098958,0.078946,0.147272,0.069273,0.137717,0.101283,0.103544,0.04776,0.061501,0.078352,0.204043
9.249979,0.038729,0.052586,0.019059,0.021931,0.054044,0.030854,0.044439,0.092773,0.071051,0.142669,0.066884,0.125912,0.092843,0.097628,0.044866,0.059693,0.073999,0.198042
9.499967,0.036969,0.0464,0.018106,0.019937,0.051694,0.029451,0.039501,0.086589,0.06842,0.133465,0.059718,0.121978,0.09003,0.091711,0.041971,0.054266,0.069646,0.186039
9.750044,0.033448,0.043306,0.017154,0.019937,0.046995,0.026646,0.037855,0.083496,0.063157,0.119658,0.057329,0.110173,0.081589,0.082836,0.040524,0.050648,0.065293,0.174037
9.999945,0.029927,0.040213,0.015248,0.016946,0.042295,0.023841,0.034564,0.071126,0.055262,0.110454,0.050163,0.102304,0.073149,0.076919,0.036182,0.04703,0.060941,0.162034
10.249979,0.026406,0.03712,0.014295,0.01595,0.037596,0.022439,0.029626,0.064941,0.049999,0.096647,0.045385,0.086565,0.061895,0.068043,0.03184,0.039795,0.054411,0.138029
10.500071,0.022885,0.02784,0.011436,0.012959,0.032896,0.016829,0.024688,0.052572,0.042104,0.08284,0.035831,0.07476,0.053455,0.059168,0.027498,0.03256,0.043529,0.114024
10.749919,0.017604,0.021653,0.00953,0.009968,0.023497,0.014024,0.019751,0.040202,0.031578,0.059829,0.028664,0.055087,0.039388,0.044376,0.020262,0.027133,0.034823,0.090019
10.999945,0.012323,0.01856,0.005718,0.006978,0.016448,0.009817,0.013167,0.027832,0.021052,0.04142,0.021498,0.039348,0.028134,0.029584,0.014473,0.018089,0.023941,0.060013
11.249979,0.007042,0.006187,0.003812,0.003987,0.009399,0.00561,0.006584,0.015462,0.013158,0.023011,0.009555,0.019674,0.014067,0.01775,0.008684,0.009044,0.013059,0.036008
11.499862,0.00176,0.003093,0.000953,0.000997,0.00235,0.001402,0.001646,0.003092,0.002632,0.004602,0.002389,0.003935,0.002813,0.002958,0.001447,0.001809,0.002176,0.006001
11.750168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.249979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.749671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.999649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.250682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.749671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
